sourcedata,id,endPosition,startPosition,type,word
孕妇吃右旋糖酐铁片出现不良反应怎么办孕妇吃右旋糖酐铁片出现不良反应怎么?,1053,19,18,禁忌人群,孕妇
孕妇吃右旋糖酐铁片出现不良反应怎么办孕妇吃右旋糖酐铁片出现不良反应怎么?,1053,26,21,商品名,右旋糖酐铁片
右旋糖酐铁片有何副作用?,1054,5,0,商品名,右旋糖酐铁片
孕妇吃右旋糖酐铁片出现不良反应怎么?,1055,8,3,商品名,右旋糖酐铁片
孕妇吃右旋糖酐铁片出现不良反应怎么?,1055,1,0,禁忌人群,孕妇
宝宝8个月吃右旋糖酐铁片有副作用吗?,1056,11,6,商品名,右旋糖酐铁片
宝宝8个月吃右旋糖酐铁片有副作用吗?,1056,4,0,禁忌人群,宝宝8个月
注射用香菇多糖有哪些不良反应?,1057,6,0,商品名,注射用香菇多糖
注射用香菇多糖有什么不良反应吗?,1058,6,0,商品名,注射用香菇多糖
临床上应用注射用香菇多糖过程中有哪些配伍禁忌?,1059,11,5,商品名,注射用香菇多糖
泮托拉唑钠肠溶片与泮托拉唑肠溶片是否一样的?,1063,7,0,商品名,泮托拉唑钠肠溶片
泮托拉唑钠肠溶片与泮托拉唑肠溶片是否一样的?,1063,15,9,商品名,泮托拉唑肠溶片
泮托拉唑钠肠溶片能长期吃吗,1064,7,0,商品名,泮托拉唑钠肠溶片
泮托拉唑钠肠溶片副作用?,1065,7,0,商品名,泮托拉唑钠肠溶片
泮托拉唑钠肠溶片有副作用吗?,1066,7,0,商品名,泮托拉唑钠肠溶片
泮托拉唑钠肠溶片不良反应可在服药期间缓解?,1067,7,0,商品名,泮托拉唑钠肠溶片
泮托拉唑钠肠溶片可以长期服用吗?,1068,7,0,商品名,泮托拉唑钠肠溶片
阿德福韦酯片吃了有何副作用?,1069,5,0,商品名,阿德福韦酯片
"阿德福韦酯片副作用??今年9月查出感染了乙肝,听说阿德福韦酯片可以治疗,阿德福韦酯片有没有副作用??",1070,5,0,商品名,阿德福韦酯片
"阿德福韦酯片副作用??今年9月查出感染了乙肝,听说阿德福韦酯片可以治疗,阿德福韦酯片有没有副作用??",1070,21,20,疾病,乙肝
"阿德福韦酯片副作用??今年9月查出感染了乙肝,听说阿德福韦酯片可以治疗,阿德福韦酯片有没有副作用??",1070,30,25,商品名,阿德福韦酯片
"阿德福韦酯片副作用??今年9月查出感染了乙肝,听说阿德福韦酯片可以治疗,阿德福韦酯片有没有副作用??",1070,41,36,商品名,阿德福韦酯片
"亿来芬阿德福韦酯片说明书、价格,亿来芬阿德福韦酯片哪里有卖?",1071,2,0,商品名,亿来芬
"亿来芬阿德福韦酯片说明书、价格,亿来芬阿德福韦酯片哪里有卖?",1071,8,3,商品名,阿德福韦酯片
"亿来芬阿德福韦酯片说明书、价格,亿来芬阿德福韦酯片哪里有卖?",1071,18,16,商品名,亿来芬
"亿来芬阿德福韦酯片说明书、价格,亿来芬阿德福韦酯片哪里有卖?",1071,24,19,商品名,阿德福韦酯片
阿德福韦酯片对身体有什么影响吗?还有恩替卡伟分散片和阿德福韦酯片哪个好点?,1072,5,0,商品名,阿德福韦酯片
阿德福韦酯片对身体有什么影响吗?还有恩替卡伟分散片和阿德福韦酯片哪个好点?,1072,24,18,商品名,恩替卡伟分散片
阿德福韦酯片对身体有什么影响吗?还有恩替卡伟分散片和阿德福韦酯片哪个好点?,1072,31,26,商品名,阿德福韦酯片
服用阿德福韦酯片副作用大吗?,1073,7,2,商品名,阿德福韦酯片
有什么副作用阿德福韦酯片?,1074,11,6,商品名,阿德福韦酯片
氯霉素注射液配伍禁忌?为什么我配的氯霉素注射液总是浑浊?,1075,5,0,商品名,氯霉素注射液
氯霉素注射液配伍禁忌?为什么我配的氯霉素注射液总是浑浊?,1075,22,17,商品名,氯霉素注射液
氯霉素注射液跟氯霉素软膏的效果一样吗?,1076,5,0,商品名,氯霉素注射液
氯霉素注射液跟氯霉素软膏的效果一样吗?,1076,11,7,商品名,氯霉素软膏
用氯霉素注射液给小儿擦痱子是否有副作用,1077,6,1,商品名,氯霉素注射液
用氯霉素注射液给小儿擦痱子是否有副作用,1077,9,8,禁忌人群,小儿
用氯霉素注射液给小儿擦痱子是否有副作用,1077,12,10,疾病,擦痱子
八岁的孩子用氯霉素注射液过量会混身出汗心跳加速?,1078,11,6,商品名,氯霉素注射液
八岁的孩子用氯霉素注射液过量会混身出汗心跳加速?,1078,4,0,禁忌人群,八岁的孩子
八岁的孩子用氯霉素注射液过量会混身出汗心跳加速?,1078,18,17,疾病,出汗
八岁的孩子用氯霉素注射液过量会混身出汗心跳加速?,1078,22,19,疾病,心跳加速
注射用苯唑西林钠注意事项是哪些?,1079,7,0,商品名,注射用苯唑西林钠
注射用苯唑西林钠有什么禁忌?,1080,7,0,商品名,注射用苯唑西林钠
注射用苯唑西林钠的性状是什么?,1081,7,0,商品名,注射用苯唑西林钠
注射用苯唑西林钠用法与用量是多少?,1082,7,0,商品名,注射用苯唑西林钠
注射用氨苄西林钠注意事项是哪些?,1083,7,0,商品名,注射用氨苄西林钠
注射用氨苄西林钠的性状是什么?,1084,7,0,商品名,注射用氨苄西林钠
注射用氨苄西林钠氯唑西林钠和氨苄西林舒巴坦钠是一样的吗,1085,12,0,商品名,注射用氨苄西林钠氯唑西林钠
注射用氨苄西林钠用法与用量是多少?,1086,7,0,商品名,注射用氨苄西林钠
求注射用氨苄西林钠舒巴坦钠药品说明书,1087,12,1,商品名,注射用氨苄西林钠舒巴坦钠
咪达唑仑注射液有哪些不良反应?,1088,6,0,商品名,咪达唑仑注射液
盐酸地尔硫䓬片的成分是什么?,1089,6,0,商品名,盐酸地尔硫䓬片
硝酸异山梨酯注射液的药理作用是什么?,1090,8,0,商品名,硝酸异山梨酯注射液
硝酸异山梨酯注射液说明书,1091,8,0,商品名,硝酸异山梨酯注射液
左炔诺孕酮肠溶胶囊和毓婷的避孕效果都是一样的吗?,1092,8,0,商品名,左炔诺孕酮肠溶胶囊
左炔诺孕酮肠溶胶囊和毓婷的避孕效果都是一样的吗?,1092,11,10,商品名,毓婷
左炔诺孕酮肠溶胶囊和毓婷哪个好?,1093,8,0,商品名,左炔诺孕酮肠溶胶囊
左炔诺孕酮肠溶胶囊和毓婷哪个好?,1093,11,10,商品名,毓婷
仙琚的左炔诺孕酮肠溶胶囊副作用大吗?,1094,11,3,商品名,左炔诺孕酮肠溶胶囊
仙琚的左炔诺孕酮肠溶胶囊副作用大吗?,1094,1,0,商品名,仙琚
「左炔诺孕酮肠溶胶囊」有什么副作用吗?,1095,9,1,商品名,左炔诺孕酮肠溶胶囊
求硫酸奈替米星葡萄糖注射液药品说明书,1096,12,1,商品名,硫酸奈替米星葡萄糖注射液
枸地氯雷他定胶囊和地氯雷他定分散片功效是一样吗?,1097,7,0,商品名,枸地氯雷他定胶囊
枸地氯雷他定胶囊和地氯雷他定分散片功效是一样吗?,1097,16,9,商品名,地氯雷他定分散片
枸地氯雷他定胶囊和地氯雷他定分散片的作用是不是一样的?,1098,7,0,商品名,枸地氯雷他定胶囊
枸地氯雷他定胶囊和地氯雷他定分散片的作用是不是一样的?,1098,16,9,商品名,地氯雷他定分散片
枸地氯雷他定胶囊。有哪些注意事项?,1099,7,0,商品名,枸地氯雷他定胶囊
注射用头孢西丁钠有什么注意事项?,1100,7,0,商品名,注射用头孢西丁钠
注射用头孢西丁钠副作用有什?,1101,7,0,商品名,注射用头孢西丁钠
"奥硝唑氯化钠注射液,注射用头孢西丁钠哪种药副作用大",1102,17,10,商品名,注射用头孢西丁钠
"奥硝唑氯化钠注射液,注射用头孢西丁钠哪种药副作用大",1102,8,0,商品名,奥硝唑氯化钠注射液
服用盐酸多西环素肠溶胶囊有什么不良反应?,1103,11,2,商品名,盐酸多西环素肠溶胶囊
盐酸多西环素肠溶胶囊用法用量是多少呢?,1104,9,0,商品名,盐酸多西环素肠溶胶囊
盐酸多西环素肠溶胶囊的性状是什么呢?,1105,9,0,商品名,盐酸多西环素肠溶胶囊
盐酸多西环素肠溶胶囊不良反应有哪些怎么预防,1106,9,0,商品名,盐酸多西环素肠溶胶囊
求盐酸多西环素肠溶胶囊说明书?,1107,10,1,商品名,盐酸多西环素肠溶胶囊
求注射用头孢唑林钠药品说明书,1108,8,1,商品名,注射用头孢唑林钠
有长期吃过羧甲淀粉钠溶液的吗?,1109,11,5,商品名,羧甲淀粉钠溶液
像蜂蜜一样?羧甲淀粉钠溶液?,1110,12,6,商品名,羧甲淀粉钠溶液
羧甲淀粉钠溶液可以给孩子长期吃?,1111,6,0,商品名,羧甲淀粉钠溶液
羧甲淀粉钠溶液可以给孩子长期吃?,1111,11,10,禁忌人群,孩子
羧甲淀粉钠溶液长期服用有害?,1112,6,0,商品名,羧甲淀粉钠溶液
羧甲淀粉钠溶液吃三个月有没有副作用?,1113,6,0,商品名,羧甲淀粉钠溶液
羧甲淀粉钠溶液和孟特司鲁一起吃对小孩有没副作用?,1114,6,0,商品名,羧甲淀粉钠溶液
羧甲淀粉钠溶液和孟特司鲁一起吃对小孩有没副作用?,1114,17,16,禁忌人群,小孩
哥达(甲磺酸酚妥拉明胶囊)有副作用?,1115,11,3,商品名,甲磺酸酚妥拉明胶囊
哥达(甲磺酸酚妥拉明胶囊)有副作用?,1115,1,0,商品名,哥达
"医生,甲磺酸酚妥拉明胶囊对人体有副作用吗?",1116,11,3,商品名,甲磺酸酚妥拉明胶囊
甲磺酸酚妥拉明胶囊有副作用吗?对治疗性功能障碍效果好吗?.,1117,22,18,疾病,性功能障碍
甲磺酸酚妥拉明胶囊有副作用吗?对治疗性功能障碍效果好吗?.,1117,8,0,商品名,甲磺酸酚妥拉明胶囊
盐酸多柔比星脂质体注射液的不良反应?,1118,11,0,商品名,盐酸多柔比星脂质体注射液
盐酸多柔比星脂质体注射液有哪些不良反应?,1119,11,0,商品名,盐酸多柔比星脂质体注射液
皮上划痕人用炭疽活疫苗的注意事项有哪些呢?,1120,10,0,商品名,皮上划痕人用炭疽活疫苗
酒石酸美托洛尔注射液的不良反应?,1121,9,0,商品名,酒石酸美托洛尔注射液
酒石酸美托洛尔注射液的用法用量?,1122,9,0,商品名,酒石酸美托洛尔注射液
请问乳酸菌素散性状是什?,1123,6,2,商品名,乳酸菌素散
乙酰胺注射液注意事项有哪些?,1124,5,0,商品名,乙酰胺注射液
乙酰胺注射液的用法是怎样的?,1125,5,0,商品名,乙酰胺注射液
乙酰胺注射液会引起哪些副作用?,1126,5,0,商品名,乙酰胺注射液
乙酰胺注射液用法与用量是多少?,1127,5,0,商品名,乙酰胺注射液
求棓丙酯注射液药品说明书,1128,6,1,商品名,棓丙酯注射液
棓丙酯注射液的药理毒理?,1129,5,0,商品名,棓丙酯注射液
米格列醇片的禁忌是什么,1130,4,0,商品名,米格列醇片
米格列醇片的用法用量是什么,1131,4,0,商品名,米格列醇片
胆维丁乳有副作用吗?,1132,3,0,商品名,胆维丁乳
求法莫替丁颗粒药品说明书,1133,6,1,商品名,法莫替丁颗粒
求诺氟沙星片药品说明书,1134,5,1,商品名,诺氟沙星片
盐酸多塞平片副作用是什么来的呢,1135,5,0,商品名,盐酸多塞平片
长期服用盐酸多塞平片有什么副作?,1136,9,4,商品名,盐酸多塞平片
盐酸多塞平片长期吃有副作用吗?,1137,5,0,商品名,盐酸多塞平片
盐酸多塞平片会有副作用吗?,1138,5,0,商品名,盐酸多塞平片
盐酸多塞平片可以长期吃?,1139,5,0,商品名,盐酸多塞平片
新手长期服用盐酸多塞平片会让人发胖?,1140,11,6,商品名,盐酸多塞平片
新手长期服用盐酸多塞平片会让人发胖?,1140,16,15,疾病,发胖
有没有去掉盐酸多塞平片副作用的药?,1141,10,5,商品名,盐酸多塞平片
(疏肝益阳胶囊)与(盐酸多塞平片)可以同时吃吗?,1142,15,10,商品名,盐酸多塞平片
(疏肝益阳胶囊)与(盐酸多塞平片)可以同时吃吗?,1142,6,1,商品名,疏肝益阳胶囊
"盐酸多塞平片副作用大吗?注意什么啊,怎么好啊求医生支招",1143,5,0,商品名,盐酸多塞平片
茴三硫片和茴三硫胶囊哪个好?,1144,3,0,商品名,茴三硫片
茴三硫片和茴三硫胶囊哪个好?,1144,9,5,商品名,茴三硫胶囊
求茴三硫胶囊药品说明书,1145,5,1,商品名,茴三硫胶囊
乙酰吉他霉素含片用药注意事项有哪些?,1146,7,0,商品名,乙酰吉他霉素含片
辛伐他汀滴丸的药理毒理?,1147,5,0,商品名,辛伐他汀滴丸
求辛伐他汀滴丸说明书?,1148,6,1,商品名,辛伐他汀滴丸
辛伐他汀滴丸有何副作用?,1149,5,0,商品名,辛伐他汀滴丸
求辛伐他汀滴丸药品说明书,1150,6,1,商品名,辛伐他汀滴丸
长期服用辛伐他汀滴丸对心脏有损害吗,1151,9,4,商品名,辛伐他汀滴丸
剑之亭(辛伐他汀滴丸)治疗高血脂能长期服用吗?,1152,2,0,商品名,剑之亭
剑之亭(辛伐他汀滴丸)治疗高血脂能长期服用吗?,1152,15,13,疾病,高血脂
剑之亭(辛伐他汀滴丸)治疗高血脂能长期服用吗?,1152,9,4,商品名,辛伐他汀滴丸
藻酸双酯钠片有禁忌症?,1153,5,0,商品名,藻酸双酯钠片
服用藻酸双酯钠片有不良反应吗?,1154,7,2,商品名,藻酸双酯钠片
藻酸双酯钠片能治高血脂症吗?能长期服用吗?,1155,5,0,商品名,藻酸双酯钠片
藻酸双酯钠片能治高血脂症吗?能长期服用吗?,1155,11,8,疾病,高血脂症
求藻酸双酯钠片药品说明书,1156,6,1,商品名,藻酸双酯钠片
求硫酸庆大霉素肠溶片药品说明书,1157,9,1,商品名,硫酸庆大霉素肠溶片
颠茄片有副作用吗经常胃疼?,1158,2,0,商品名,颠茄片
颠茄片有副作用吗经常胃疼?,1158,11,10,疾病,胃疼
使用颠茄片不良反应有哪些?,1159,4,2,商品名,颠茄片
颠茄片的药理及应用有哪些?,1160,2,0,商品名,颠茄片
颠茄片不良反应有哪些?,1161,2,0,商品名,颠茄片
颠茄片有哪些注意事项?,1162,2,0,商品名,颠茄片
使用颠茄片需要注意什么呢?,1163,4,2,商品名,颠茄片
小孩服用颠茄片过量怎么办?,1164,6,4,商品名,颠茄片
小孩服用颠茄片过量怎么办?,1164,1,0,禁忌人群,小孩
铝镁颠茄片有哪些禁忌?,1165,4,0,商品名,铝镁颠茄片
铝镁颠茄片的不良反应有哪些?,1166,4,0,商品名,铝镁颠茄片
有没有副作用?吃颠茄片?,1167,10,8,商品名,颠茄片
服用颠茄片会出现不良反应吗?,1168,4,2,商品名,颠茄片
请问颠茄片和复方维U颠茄铋铝片是一样的吗?,1169,4,2,商品名,颠茄片
请问颠茄片和复方维U颠茄铋铝片是一样的吗?,1169,14,6,商品名,复方维U颠茄铋铝片
服用铝镁颠茄片有哪些注意事项?,1170,6,2,商品名,铝镁颠茄片
铝镁颠茄片的主要成分是什么?,1171,4,0,商品名,铝镁颠茄片
求铝镁颠茄片药品说明书,1172,5,1,商品名,铝镁颠茄片
求烟酰胺葡萄糖注射液药品说明书,1173,9,1,商品名,烟酰胺葡萄糖注射液
求葡醛酸钠注射液药品说明书,1174,7,1,商品名,葡醛酸钠注射液
奋乃静片的注意事项是?,1175,3,0,商品名,奋乃静片
奋乃静片的性状如何?,1176,3,0,商品名,奋乃静片
奋乃静片有何禁忌?,1177,3,0,商品名,奋乃静片
奋乃静片的成份是?,1178,3,0,商品名,奋乃静片
奋乃静片的不良反应是?,1179,3,0,商品名,奋乃静片
奋乃静片的用法用量是?,1180,3,0,商品名,奋乃静片
奋乃静片服用过量症状是?,1181,3,0,商品名,奋乃静片
奋乃静片的老年用药注意事项是?,1182,3,0,商品名,奋乃静片
奋乃静片的老年用药注意事项是?,1182,6,5,禁忌人群,老年
奋乃静片的药理毒理作用是?,1183,3,0,商品名,奋乃静片
长期服用奋乃静片和盐酸笨海索片对人体有多大危害?,1184,7,4,商品名,奋乃静片
长期服用奋乃静片和盐酸笨海索片对人体有多大危害?,1184,14,9,商品名,盐酸笨海索片
奋乃静片的孕妇及哺乳期妇女用药注意事项是?,1185,3,0,商品名,奋乃静片
奋乃静片的孕妇及哺乳期妇女用药注意事项是?,1185,6,5,禁忌人群,孕妇
奋乃静片的孕妇及哺乳期妇女用药注意事项是?,1185,12,8,禁忌人群,哺乳期妇女
盐酸塞利洛尔胶囊禁忌是什么呢?,1186,7,0,商品名,盐酸塞利洛尔胶囊
求左羟丙哌嗪胶囊药品说明书,1187,7,1,商品名,左羟丙哌嗪胶囊
地红霉素肠溶胶囊的注意事项?,1188,7,0,商品名,地红霉素肠溶胶囊
醋酸钙片和醋酸钙颗粒作用一样吗药理作?,1189,3,0,商品名,醋酸钙片
醋酸钙片和醋酸钙颗粒作用一样吗药理作?,1189,9,5,商品名,醋酸钙颗粒
长期吃阿魏酸钠片能去斑吗?,1190,7,3,商品名,阿魏酸钠片
阿魏酸钠片是什么成分?,1191,4,0,商品名,阿魏酸钠片
求阿魏酸钠片药品说明书,1192,5,1,商品名,阿魏酸钠片
爱普列特片有哪些注意事项?,1193,4,0,商品名,爱普列特片
"听人说爱普列特片是西药,有很多副作用的",1194,10,9,药物类别,西药
"听人说爱普列特片是西药,有很多副作用的",1194,7,3,商品名,爱普列特片
服用爱普列特片有哪些注意事项?,1195,6,2,商品名,爱普列特片
爱普列特片注意事项,1196,4,0,商品名,爱普列特片
头孢克洛干混悬剂和阿奇霉素干混悬剂的作用一样吗?,1197,7,0,商品名,头孢克洛干混悬剂
头孢克洛干混悬剂和阿奇霉素干混悬剂的作用一样吗?,1197,16,9,商品名,阿奇霉素干混悬剂
头孢克洛干混悬剂和头孢克洛肟颗粒是一样的吗?,1198,7,0,商品名,头孢克洛干混悬剂
头孢克洛干混悬剂和头孢克洛肟颗粒是一样的吗?,1198,15,9,商品名,头孢克洛肟颗粒
宝宝吃头孢克洛干混悬剂过量了怎么办?,1199,10,3,商品名,头孢克洛干混悬剂
宝宝吃头孢克洛干混悬剂过量了怎么办?,1199,1,0,禁忌人群,宝宝
头孢克洛干混悬剂与投保丙烯颗粒一样吗,1200,7,0,商品名,头孢克洛干混悬剂
头孢克洛干混悬剂与投保丙烯颗粒一样吗,1200,14,9,商品名,投保丙烯颗粒
头孢克洛干混悬剂和阿莫西林作用一样?,1201,7,0,商品名,头孢克洛干混悬剂
注射用促肝细胞生长素的用量用法是什么?,1202,9,0,商品名,注射用促肝细胞生长素
氯硝西泮片的副作用大么?,1203,4,0,商品名,氯硝西泮片
氯硝西泮片有哪些副作用?,1204,4,0,商品名,氯硝西泮片
