id,symptom
<160>,充血
<161>,不安
<162>,易惊
<163>,眼球运动障碍
<164>,休克
<165>,皮疹
<166>,疱疹
<167>,冷汗
<168>,颈部强直
<169>,精神状态改变
<170>,惊厥
<171>,肌阵挛
<172>,肌无力
<173>,高血压
<174>,粉红色泡沫痰/咳痰
<175>,颤抖
<176>,鼻流涕
<177>,Kernig征阳性
<178>,Brudzinski征阳性
<179>,肿物
<180>,硬膜外肿物
<181>,腰椎骨质破坏
<182>,胸椎骨质破坏
<183>,胸腔积液
<184>,胸闷
<185>,吞咽困难
<186>,体重下降
<187>,视野缺损
<188>,视力模糊
<189>,皮下结节
<190>,皮肤瘙痒
<191>,淋巴结肿大
<192>,溃疡
<193>,结节
<194>,红斑
<195>,骨痛
<196>,腹部肿物
<197>,肺不张
<198>,反酸
<199>,大出血
<200>,穿孔
<201>,肠梗阻
<202>,鼻塞
<203>,斑块
<204>,震颤
<205>,月经停止
<206>,月经减少
<207>,眼球突出
<208>,眼裂增宽
<209>,头晕
<210>,瞬目减少
<211>,食欲亢进
<212>,皮肤温暖
<213>,怕热
<214>,男性乳房发育
<215>,经期延长
<216>,紧张
<217>,焦虑
<218>,甲状腺肿大
<219>,第一心音增强
<220>,潮湿
<221>,粘液性痰
<222>,粘液痰
<223>,粘膜发绀
<224>,胸廓前后径增大
<225>,心浊音界缩小
<226>,心音遥远
<227>,桶状胸
<228>,缩唇呼吸
<229>,球结膜水肿
<230>,频率增快
<231>,皮肤发绀
<232>,脓性痰
<233>,肋间隙增宽
<234>,颈部静脉怒张
<235>,精神抑郁
<236>,剑突下胸骨下角增宽
<237>,活动后气促
<238>,呼吸音减弱
<239>,呼吸浅快
<240>,呼气期延长
<241>,肺下界下降
<242>,肺过清音
<243>,肺干啰音
<244>,触觉语颤减弱
<245>,杵状指
<246>,白色泡沫痰
<247>,P2＞A2
<248>,紫癜
<249>,眼底出血
<250>,性格改变
<251>,心包积液
<252>,网状青斑
<253>,视网膜渗出
<254>,失明
<255>,肾衰竭
<256>,认知障碍
<257>,偏头痛
<258>,盘状红斑
<259>,面部红斑
<260>,雷诺现象
<261>,口腔溃疡
<262>,光过敏
<263>,关节肿大
<264>,关节炎
<265>,便秘
<266>,肢体麻木
<267>,嗅觉减退
<268>,味觉减退
<269>,妄想
<270>,舌痛
<271>,舌乳头萎缩
<272>,人格变态
<273>,牛肉样舌
<274>,口腔黏膜萎缩
<275>,精神错乱
<276>,肌张力增强
<277>,幻觉
<278>,步态不稳
<279>,月经过多
<280>,眼睑水肿
<281>,心浊音界扩大
<282>,心动过缓
<283>,脱皮
<284>,听力异常
<285>,体重增加
<286>,手足肿胀
<287>,声音嘶哑
<288>,舌体增大
<289>,少汗
<290>,皮温降低
<291>,面具面容
<292>,面部水肿
<293>,毛发稀疏
<294>,毛发干燥
<295>,胫前粘液性水肿
<296>,踝反射减弱
<297>,齿痕舌
<298>,肠鸣音减弱
<299>,苍白
<300>,表情呆滞
<301>,牙龈肿胀
<302>,牙龈增生
<303>,胸部压痛
<304>,瞳孔不等大
<305>,颅内出血
<306>,睾丸肿大
<307>,肛周脓肿
<308>,斑丘疹
<309>,咽部黏膜充血
<310>,畏光
<311>,四肢水肿
<312>,全身不适
<313>,喷嚏
<314>,麻疹黏膜斑
<315>,流泪
<316>,背痛
<317>,眩晕
<318>,虚弱
<319>,性早熟
<320>,口干
<321>,肌张力减弱
<322>,肌力减弱
<323>,咽痛
<324>,皮肤发花
<325>,脑膜刺激征
<326>,颅内压增高
<327>,哭闹
<328>,拒食
<329>,感觉过敏
<330>,言语困难
<331>,咽痒
<332>,咽干
<333>,咽充血
<334>,咽部水肿
<335>,味觉迟钝
<336>,烧灼感
<337>,淋巴结压痛
<338>,淋巴结触痛
<339>,呼吸节律异常
<340>,喉水肿
<341>,喉充血
<342>,扁桃体肿大
<343>,扁桃体脓性分泌物
<344>,扁桃体溃疡
<345>,扁桃体充血
<346>,鼻粘膜充血
<347>,鼻后滴漏
<348>,心脏扩大
<349>,苔藓样变
<350>,视力异常
<351>,上肢麻木
<352>,腮腺肿大
<353>,感觉减退
<354>,肝功能减退
<355>,耳鸣
<356>,多尿
<357>,淀粉样变性
<358>,出血倾向
<359>,病理性骨折
<360>,肢体无力
<361>,压头试验阳性
<362>,旋颈试验阳性
<363>,心前区疼痛
<364>,胃肠功能减退
<365>,痛觉迟钝
<366>,听力下降
<367>,手麻木
<368>,浅反射减弱
<369>,肌肉萎缩
<370>,肌肉痉挛
<371>,感觉障碍平面
<372>,Hoffmann征阳性
<373>,Babinski征阳性
<374>,周期性麻痹
<375>,心脏骤停
<376>,软瘫
<377>,呼吸肌麻痹
<378>,膈肌麻痹
<379>,多饮
<380>,定向力障碍
<381>,肠蠕动消失
<382>,肠蠕动减弱
<383>,肠麻痹
<384>,智力发育迟缓
<385>,夜惊
<386>,悬雍垂肥大
<387>,心绞痛
<388>,腺样体肥大
<389>,下颌后缩
<390>,日间嗜睡
<391>,梦游
<392>,口咽部阻塞感
<393>,颈部短小
<394>,颈部粗大
<395>,呼吸停止
<396>,颌畸形
<397>,肥胖
<398>,打鼾
<399>,喘憋
<400>,扁桃体肥大
<401>,鼻中隔偏曲
<402>,鼻息肉
<403>,鼻甲肥大
<404>,腰酸
<405>,深反射消失
<406>,深反射迟钝
<407>,皮下水肿
<408>,口腔异味
<409>,痉挛
<410>,精神异常
<411>,肌肉震颤
<412>,呼吸深长
<413>,感觉神经障碍
<414>,反应淡漠
<415>,眼异物感
<416>,食管粘膜萎缩
<417>,舌干
<418>,龋齿
<419>,裂纹舌
<420>,泪腺肿大
<421>,泪少
<422>,镜面舌
<423>,结节性红斑
<424>,角膜溃疡
<425>,角膜干燥
<426>,干眼
<427>,鼻干
<428>,喂养困难
<429>,睡眠障碍
<430>,三凹征
<431>,鸡鸣样回声
<432>,心尖搏动消失
<433>,心尖搏动减弱
<434>,心包摩擦音
<435>,上腹部痛
<436>,奇脉
<437>,肝脏触痛
<438>,肺瘀血
<439>,夜间阵发性呼吸困难
<440>,心脏杂音
<441>,抬举性心尖搏动
<442>,乐音样杂音
<443>,肝脏淤血
<444>,端坐呼吸
<445>,第一心音减弱
<446>,第四心音
<447>,第三心音
<448>,第二心音分裂
<449>,吹风样杂音
<450>,胸骨疼痛
<451>,强迫体位
<452>,恐惧
<453>,激动
<454>,粉红色泡沫痰
<455>,肺哮鸣音
<456>,喘息
<457>,濒死感
<458>,奔马律
<459>,腰压痛
<460>,腰部膨隆
<461>,消化道梗阻
<462>,脱水
<463>,呕血
<464>,黑便
<465>,腹膜刺激征
<466>,放射痛
<467>,凹陷性水肿
<468>,Grey-Turner征阳性
<469>,Cullen征阳性
<470>,躁狂
<471>,心搏骤停
<472>,胃黏膜水肿
<473>,胃黏膜充血
<474>,渗血
<475>,扑翼样震颤
<476>,糜烂
<477>,间停呼吸
<478>,呼吸过速
<479>,潮式呼吸
<480>,杨梅舌
<481>,心音低钝
<482>,口腔黏膜充血
<483>,口唇皲裂
<484>,颈部淋巴结肿大
<485>,饮水呛咳
<486>,言语不清
<487>,体象障碍
<488>,失语
<489>,失读
<490>,精神障碍
<491>,感觉障碍
<492>,horner征
<493>,压痛
<494>,鼻翼翕动
<495>,心音减弱
<496>,外周水肿
<497>,皮肤湿冷
<498>,晕厥
<499>,胀痛
<500>,右上腹部不适
<501>,右季肋部胀痛
<502>,眼球搏动
<503>,胸部不适
<504>,心房颤动
<505>,全身性水肿
<506>,颈静脉搏动
<507>,嗳气
<508>,惊恐
<509>,大咯血
<510>,栓塞
<511>,隆隆样杂音
<512>,开瓣音
<513>,二尖瓣面容
<514>,Graham Steell杂音
<515>,大便性质改变
<516>,运动失调
<517>,夜啼
<518>,驼背
<519>,拾物试验阳性
<520>,神经功能障碍
<521>,脓肿
<522>,急躁
<523>,后凸畸形
<524>,窦道
<525>,盗汗
<526>,月经增多
<527>,移动性浊音
<528>,水蛇头
<529>,脾功能亢进
<530>,皮下瘀斑
<531>,皮下出血点
<532>,面色晦暗
<533>,肝浊音界缩小
<534>,周围性发绀
<535>,喷射样杂音
<536>,寒冷
<537>,粘膜出血
<538>,瞳孔异常
<539>,皮肤出血
<540>,内脏出血
<541>,计算力异常
<542>,呼吸不规则
<543>,肝臭
<544>,智力低下
<545>,指（趾）甲脆薄易裂
<546>,异食癖
<547>,匙状甲
<548>,皮肤皱缩
<549>,毛发干枯
<550>,口角皲裂
<551>,发育迟缓
<552>,呃逆
<553>,肠胀气
<554>,张口呼吸
<555>,易惊醒
<556>,学习困难
<557>,哮喘
<558>,腺样体面容
<559>,磨牙
<560>,耳痛
<561>,耳闷胀感
<562>,营养障碍
<563>,粟粒疹
<564>,嗅觉障碍
<565>,面部压迫感
<566>,神经麻痹
<567>,月经周期缩短
<568>,月经淋漓不净
<569>,阴道排液
<570>,阴道分泌物增多
<571>,下腹部坠胀感
<572>,痛经
<573>,排尿困难
<574>,白带增多
<575>,流涎
<576>,黄色脓痰
<577>,胃胀
<578>,陶土样大便
<579>,面色灰暗
<580>,毛细血管扩张
<581>,肝功能衰竭
<582>,下腹部压痛
<583>,里急厚重感
<584>,便血
<585>,眼睛发红
<586>,执行能力受损
<587>,语言能力受损
<588>,言语能力丧失
<589>,消极情绪
<590>,四肢屈曲
<591>,四肢强直
<592>,视空间能力受损
<593>,失用
<594>,失认
<595>,人格障碍
<596>,情感淡漠
<597>,括约肌功能障碍
<598>,哭笑无常
<599>,阴茎缩小
<600>,阴蒂肥大
<601>,水牛背
<602>,乳房萎缩
<603>,皮肤紫纹
<604>,满月脸
<605>,鲤鱼嘴
<606>,喉结增大
<607>,骨骼疼痛
<608>,睾丸变软
<609>,多血质外貌
<610>,多毛
<611>,痤疮
<612>,眼眶下陷
<613>,烂苹果味
<614>,呼吸深快
<615>,眼距增宽
<616>,头颅增大
<617>,颧骨高
<618>,皮肤脱屑
<619>,皮肤苍白
<620>,额头隆起
<621>,鼻梁塌
<622>,晕厥前期
<623>,下肢静脉曲张
<624>,颈动脉搏动异常
<625>,齿龈肿胀
<626>,斑疹
<627>,荨麻疹
<628>,视网膜水肿
<629>,视网膜出血
<630>,肿胀
<631>,前胸饱满
<632>,转移性右下腹痛
<633>,腰大肌试验阳性
<634>,结肠充气试验阳性
<635>,肠鸣音消失
<636>,闭孔内肌试验阳性
<637>,下腹部疼痛
<638>,输尿管点压痛
<639>,肾区叩击痛
<640>,尿痛
<641>,肋脊角压痛
<642>,酸中毒大呼吸
<643>,纳差
<644>,张口困难
<645>,腮腺胀痛
<646>,睾丸肿痛
<647>,精神紧张
<648>,肠鸣音亢进
<649>,性交痛
<650>,盆腔疼痛
<651>,附件区包块
<652>,触痛性结节
<653>,肾绞痛
<654>,肾积水
<655>,关节红肿热痛
<656>,关节功能障碍
<657>,心界缩小
<658>,视觉障碍
<659>,鼓膜充血
<660>,鼻咽部疼痛
<661>,肝颈静脉回流征阳性
<662>,阴道流血
<663>,血性白带
<664>,性交出血
<665>,四肢酸痛
<666>,接触性出血
<667>,胸部紧缩感
<668>,肺纤维化
<669>,肺细湿啰音
<670>,眼痒
<671>,眼红
<672>,鼻痒
<673>,鼻黏膜肿胀
<674>,鼻黏膜苍白
<675>,鼻甲水肿
<676>,恶病质
<677>,胆囊肿大
<678>,喉黏膜肿胀
<679>,喉黏膜充血
<680>,喉痉挛
<681>,喘鸣音
<682>,灼痛
<683>,隐痛
<684>,全身衰弱
<685>,Koplik斑
<686>,气促/喘息
<687>,胸廓塌陷
<688>,肢体冷感
<689>,锁骨淋巴结肿大
<690>,烧心
<691>,浊音
<692>,触觉语颤增强
<693>,肾区压痛
<694>,躁动
<695>,线状疹
<696>,吞咽疼痛
<697>,口周苍白圈
<698>,草莓舌
<699>,脑疝
<700>,自主神经功能障碍
<701>,姿势步态障碍
<702>,姿势不稳
<703>,静止性震颤
<704>,肌肉强直
<705>,痴呆
<706>,类似风湿热样表现
<707>,粘液痰/咳痰
<708>,停滞感
<709>,锁骨上淋巴结肿大
<710>,闷胀感
<711>,梗噎感
<712>,心室颤动
<713>,无脉性室性心动过速
<714>,第一心音分裂
<715>,右上腹部痛
<716>,胆道出血
<717>,静脉怒张
<718>,淤血
<719>,缺血性坏死
<720>,麻痹性肠梗阻
<721>,关节僵硬
<722>,关节畸形
<723>,关节骨化
<724>,出血难止
<725>,行为异常
<726>,自主神经功能失调
<727>,性发育迟缓
<728>,体温异常
<729>,身材矮小
<730>,皮肤感觉异常
<731>,头胀
<732>,头部扳紧感
<733>,抬举样心尖搏动
<734>,颈部扳紧感
<735>,肝浊音界消失
<736>,板状腹
<737>,肿物疼痛
<738>,颈部肿物
<739>,肩痛
<740>,甲状腺结节
<741>,坐骨神经痛
<742>,直腿抬高试验阳性
<743>,运动功能障碍
<744>,腰部活动受限
<745>,小便障碍
<746>,马尾综合征
<747>,脊柱侧弯
<748>,发射异常
<749>,尿液混浊
<750>,尿道瘙痒
<751>,尿道口红肿
<752>,骨盆疼痛
<753>,附有脓性分泌物
<754>,月经稀发
<755>,油脂性皮肤
<756>,情感障碍
<757>,黑棘皮症
<758>,气管移位
<759>,刺痛
<760>,眼球活动障碍
<761>,抬头困难
<762>,上睑下垂
<763>,咀嚼困难
<764>,肌病面容
<765>,晨轻暮重
<766>,肛门痉挛
<767>,皮肤黏膜出血
<768>,口腔黏膜血疱
<769>,自动症
<770>,阵挛性发作
<771>,眼肌阵挛性发作
<772>,失张力发作
<773>,失神发作
<774>,全身强直-阵挛性发作
<775>,强直性发作
<776>,局灶性运动性发作
<777>,局灶性继发全面性发作
<778>,局灶性感觉性发作
<779>,肌阵挛性发作
<780>,痴笑性发作
<781>,颈前疼痛
<782>,叩诊过清音
<783>,沉默肺
<784>,皱纹消失
<785>,指尖溃疡
<786>,指垫萎缩
<787>,皮肤光薄
<788>,面部麻木
<789>,理解困难
<790>,排便习惯改变
<791>,排便不尽
<792>,直肠功能障碍
<793>,手部无力
<794>,膀胱障碍
<795>,截瘫
<796>,溢脓
<797>,乳突压痛
<798>,耳漏
<799>,脉率增快
<800>,关节压痛
<801>,关节强直
<802>,关节功能受限
<803>,晨僵
<804>,胃底静脉破裂出血
<805>,肝硬化
<806>,肝区疼痛
<807>,阵发性跛行
<808>,手足温度过低
<809>,皮肤薄脆
<810>,静息痛
<811>,坏疽
<812>,动脉搏动异常
<813>,Velcro啰音
<814>,吞咽障碍
<815>,轻偏瘫
<816>,偏身感觉障碍
<817>,精细运动障碍
<818>,共济失调性轻偏瘫
<819>,发音困难
<820>,纯运动性轻偏瘫
<821>,外阴瘙痒
<822>,发育延迟
<823>,心脏停搏
<824>,酸痛
<825>,上腹部肿块
<826>,舌燥
<827>,唇干
<828>,咽部不适感
<829>,胃部灼烧感
<830>,上腹灼烧感
<831>,反流
<832>,脓性痰/咳痰
<833>,管状呼吸音
<834>,心前区不适
<835>,子宫增大
<836>,右下腹部压痛
<837>,膀胱刺激征
<838>,痔疮
<839>,下腹部胀痛
<840>,肛门疼痛
<841>,肛裂
<842>,腹部叩痛
<843>,Murphy征阳性
