questions,question_type,id
"老人心脏不好,吃单硝酸异山梨酯胶丸好吗？",6,376
最新治疗牛皮癣的药？,15,377
奥沙拉秦钠胶囊的药理毒理有哪些？,7,378
服用依折麦布片期间在饮食方面要注意什么？,1,379
腹痛腹胀慢性肠炎吃什么药好？？？？？？,15,380
爱普列特片有哪些注意事项?,1,381
求铝碳酸镁混悬液说明书?,2,382
依托咪酯注射液的药代动力学是怎样的？,13,383
奥沙拉秦钠胶囊需要注意那些事项？,1,384
拉米夫定片副作用怎么？,0,385
氟康唑片的用法用量是？,4,386
盐酸左氧氟沙星胶囊治什么,6,387
请问盐酸多奈哌齐片有什么副作用呢？,0,388
请问碳酸氢钠注射液能不能洗阴道要能的话怎么用？,4,389
请问糖尿病人能吃果维康维生素C含片吗？是无糖请问糖尿病人能吃果维康维生素C含片吗？,6,390
健朗星（奥拉西坦胶囊）的适应症是怎样的？,6,391
求枸橼酸铋钾颗粒药品说明书,2,392
甘露聚糖肽片的用法用量?,4,393
醋酸氢化可的松软膏与丁酸氢化可的松乳膏一样吗,3,394
副作用怎么样，房事后一小时内吃左炔诺孕酮分散片房事后一小时内吃左炔诺孕酮分散片效果大不大？,0,395
萘普生钠注射液的注意事项是什么？,1,396
请问我月经没来同房吃复方醋酸环丙孕酮片可以避孕吗？,16,397
血热皮肤痒吃什么药？,15,398
丙戊酸钠糖浆可以治疗癫痫吗...,6,399
复方阿苯达唑片的用法用量是？,4,400
求沃丽汀(卵磷脂络合碘片)药品说明书,2,401
小孩咳嗽痰多吃什么药好？,15,402
求托拉塞米片药品说明书,2,403
红霉素肠溶胶囊有哪些副作用？,0,404
盐酸左氧氟沙星胶囊过量怎么办？,9,405
利培酮片的副作用是安眠吗,0,406
美洛昔康分散片属于激素药品吗？,14,407
注射用氨苄西林钠与注射用青霉素钠可以一起用来输液？,10,408
醋酸甲地孕酮片的药代动力学是什么？,13,409
丙酸氟替卡松吸入气雾剂(辅舒酮)是否对儿童牙齿有影响吗,12,410
利塞膦酸钠片可连续服用多长时间副作用大？,0,411
盐酸齐拉西酮片禁忌意思吗？,5,412
使用醋酸地塞米松粘贴片有哪些注意事项？,1,413
孕妇服用利培酮片有什么副作用、,0,414
乳酶生片的副作用有哪些？,0,415
求灵西洛他唑片说明书?,2,416
在怀孕10多天不知道的情况下使用氟康唑氯化钠注射液对怀孕初期的孕妇有影响吗？,11,417
个月布洛芬混悬液服用过量有什么副作用？,0,418
海普林（肝素钠乳膏）含激素成份吗？,8,419
乳酸左氧氟沙星滴眼液对高血压患者有什么副作用,0,420
有长期吃过羧甲淀粉钠溶液的吗？,16,421
醋酸甲地孕酮片的药理毒理是什么？,7,422
问一下泼尼松片和醋酸泼尼松片是一样的吗？,3,423
马来酸桂哌齐特注射液不良反应,0,424
甲氧氯普胺片可以下奶吗？,6,425
信龙硼酸洗液用法是什么？,4,426
水飞蓟宾胶囊是不是抗生素药物？,14,427
注射用替加氟会出现哪些不良反应？,0,428
奥沙普秦片的禁忌症有哪些？,5,429
颠茄酊使用注意事项有哪些？,1,430
美林布洛芬混悬滴剂有没有什么副作用？,0,431
盐酸莫雷西嗪片的注意事项是什么？,1,432
宝宝刚吃过饭吃阿奇霉素糖浆可以吗？,12,433
盐酸氨基葡萄糖胶囊可以长期服用吗？,16,434
高血压病人可以喝甘露醇注射液吗？,6,435
乙酰唑胺片的注意事项有哪些？,1,436
硫酸镁溶液其他药理作用？,7,437
维生素U颠茄片12岁儿童可以服用？,12,438
如果过量服下盐酸普罗帕酮片会死吗,9,439
开塞露副作用开塞露用多了又什么副作用没？,0,440
求阿托伐他汀钙胶囊说明书?,2,441
钆贝葡胺注射液会引起哪些副作用？,0,442
注射用重组链激酶有哪些不良反应？,0,443
环吡酮胺软膏怎么用呀？,4,444
醋酸氟轻松乳膏该怎么用？,4,445
奥氮平片注意事项有哪些？,1,446
请问医生普伐他汀钠片的副作用对心.,0,447
高血压低压比较高吃盐酸特拉唑嗪片可以吗,6,448
枸橼酸西地那非片吃了有副作用吗？,0,449
天麻素注射液的副作用有哪些？,0,450
类风湿性关节炎服用二氟尼柳片不良反应？,0,451
磺胺嘧啶片有哪些副作用呢？,0,452
服用米格列奈钙片过量会有何反应？,9,453
亚硝酸钠注射液用法与用量是多少？,4,454
有影响吗?我喝复方磷酸可待因糖浆成瘾？,0,455
【丽珠环明】环孢素软胶囊与【田可】环孢素软胶囊有什么区别?2个厂家的那个好，药理药性一样吗?,7,456
吲哚美辛肠溶片可以用什么没有副作用的药代？,0,457
奥拉西坦胶囊是多少盒一个疗程？,4,458
阿伐他汀钙片和瑞舒伐他汀钙片哪个好？,3,459
关于老年人长期服用盐酸酚苄明片对身体有什么副作用吗？,0,460
奥硝唑胶囊的副作用怎样解决,0,461
儿童误食屈螺酮炔雌醇片怎么？,12,462
正常人吃了乌苯美司胶囊有副作用吗？？,0,463
奋乃静片的注意事项是？,1,464
布地奈德鼻喷雾剂有使用禁忌吗？,5,465
鼻子上长浓包可以擦盐酸环丙沙星乳膏？,6,466
排尿困难吃前列康3盒效果不好，吃什么药？,15,467
甲氧沙林搽剂的用法用量是多少？急着知道,4,468
服用炎琥宁注射液有哪些禁忌及注意事项？,1,469
丙酸倍氯米松鼻喷雾剂的副作用是什么？,0,470
辅舒酮丙酸氟替卡松吸入气雾剂多大宝宝用,12,471
求硝酸咪康唑散说明书?,2,472
盐酸特比萘芬溶液和皮特芬溶剂一样吗？,3,473
门冬胰岛素注射液的副作用有哪些？,0,474
求注射用核糖核酸药品说明书,2,475
求汉防己甲素片说明书?,2,476
山莨菪碱注射液有什么副作用吗？,0,477
加巴喷丁胶囊有哪些副作用？,0,478
注射玻璃酸钠注射液阿尔治有什么副作用吗？,0,479
利多卡因气雾剂有哪些副作用？,0,480
你好医生，请问下高血压吃什么药才能降低？,15,481
曲匹布通片对胆管炎有什么作用？,6,482
甲磺酸酚妥拉明片效果是怎么样的呢，副作用大吗？,0,483
非那雄胺片的副作用是什么？,0,484
我母亲骨质疏松，吃什么止疼药好？,15,485
服用氨茶碱片需要注意什么？,1,486
盐酸氟西汀分散片的禁忌有哪些？,5,487
我服用盐酸左氧氟沙星胶囊出现严重关节痛...,0,488
两个月大的宝宝喝右美沙芬愈创甘油醚糖浆咳嗽正常？,6,489
求泛昔洛韦颗粒剂药品说明书,2,490
求环吡酮胺软膏说明书?,2,491
孕妇使用氟比洛芬巴布膏有副作用？,0,492
厄贝沙坦分散片的禁忌有哪些？,5,493
氟康唑片的注意事项是？,1,494
盐酸氯普鲁卡因注射液注意事项有哪些？,1,495
盐酸西替利嗪滴剂什么作用,6,496
非洛地平片用药要注意什么？,1,497
糖尿病人能否服用口服葡萄糖？,6,498
氨基己酸注射液有哪些副作用？,0,499
硫酸奎尼丁片的不良反应？,0,500
2岁儿童.服用葡萄糖酸锌冲剂与葡萄糖酸锌片.那种好,12,501
托西酸舒他西林片每次吃多少啊？,4,502
